INSERT INTO loottable(loottable_name, loottable_weighted, category_id) VALUES("Magic Item Table C", true, 1);

INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of healing (superior)", 15, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Spell scroll (4th level)", 22, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Ammunition", 27, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of clairvoyance", 32, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of diminution", 37, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of gaseous form", 42, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of frost giant strength", 47, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of stone giant strength", 52, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of heroism", 57, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of invulnerability", 62, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of mind reading", 67, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Spell scroll (5th level)", 72, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Elixir of health", 75, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Oil of etherealness", 78, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Potion of fire giant strength", 81, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Quaal’s feather token", 84, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Scroll of protection", 87, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Bag of beans", 89, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Bead of force", 91, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Chime of opening", 92, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Decanter of endless water", 93, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Eyes of minute seeing", 94, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Folding boat", 95, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Heward’s handy haversack", 96, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Horseshoes of speed", 97, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Necklace of fireballs", 98, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Periapt of health", 99, 9);
INSERT INTO entrytable(entrytable_text, entrytable_rollvalue, loottable_id) VALUES("Sending stones", 100, 9);
